"","synchrony","asymmetry","var","abs_value_exp","se_exp.x","baseline_value","se_exp.y","baseline_adj"
"1","low","none","biom",428.333333333333,4.50885548424185,441.383333333333,3.7629037251097,-0.0295661367669826
"2","low","none","emer",97.6233333333333,1.34613933569713,101.131666666667,0.504865768739024,-0.0346907496827567
"3","low","none","grow",0.13,0.00258198889747161,0.135,0.00223606797749979,-0.0370370370370371
"4","low","none","mass",7.34166666666667,0.0297115764943192,7.14,0.0154919333848297,0.0282446311858076
"5","low","none","surv",58.3333333333333,0.714920352984241,61.8333333333333,0.600925212577332,-0.0566037735849057
"6","low","mild","biom",427.791666666667,3.34348661994896,441.383333333333,3.7629037251097,-0.0307933391232111
"7","low","mild","emer",109.408333333333,1.9961954090497,101.131666666667,0.504865768739024,0.08184050495229
"8","low","mild","grow",0.111666666666667,0.00166666666666667,0.135,0.00223606797749979,-0.17283950617284
"9","low","mild","mass",7.50666666666667,0.0398050806360751,7.14,0.0154919333848297,0.0513538748832866
"10","low","mild","surv",57,0.683130051063973,61.8333333333333,0.600925212577332,-0.078167115902965
"11","low","strong","biom",436.858333333333,3.31125395851447,441.383333333333,3.7629037251097,-0.0102518596835705
"12","low","strong","emer",137.218333333333,1.91093766977831,101.131666666667,0.504865768739024,0.356828556831853
"13","low","strong","grow",0.09,0,0.135,0.00223606797749979,-0.333333333333333
"14","low","strong","mass",8.22166666666667,0.0737299878686489,7.14,0.0154919333848297,0.151493930905696
"15","low","strong","surv",53.1666666666667,0.703167436990966,61.8333333333333,0.600925212577332,-0.140161725067386
"16","med","none","biom",441.383333333333,3.7629037251097,441.383333333333,3.7629037251097,0
"17","med","none","emer",101.131666666667,0.504865768739024,101.131666666667,0.504865768739024,0
"18","med","none","grow",0.135,0.00223606797749979,0.135,0.00223606797749979,0
"19","med","none","mass",7.14,0.0154919333848297,7.14,0.0154919333848297,0
"20","med","none","surv",61.8333333333333,0.600925212577332,61.8333333333333,0.600925212577332,0
"21","med","mild","biom",445.158333333333,6.40809925883729,441.383333333333,3.7629037251097,0.00855265642110028
"22","med","mild","emer",111.91,0.657561150515042,101.131666666667,0.504865768739024,0.106577234298522
"23","med","mild","grow",0.11,0,0.135,0.00223606797749979,-0.185185185185185
"24","med","mild","mass",7.20333333333333,0.0423215206616103,7.14,0.0154919333848297,0.00887021475256759
"25","med","mild","surv",61.8333333333333,1.22247472139282,61.8333333333333,0.600925212577332,0
"26","med","strong","biom",440.125,3.79635241602602,441.383333333333,3.7629037251097,-0.00285088547370009
"27","med","strong","emer",135.911666666667,0.868041537664592,101.131666666667,0.504865768739024,0.343908106593715
"28","med","strong","grow",0.0866666666666667,0.00210818510677892,0.135,0.00223606797749979,-0.358024691358025
"29","med","strong","mass",7.61333333333333,0.0509029577835229,7.14,0.0154919333848297,0.0662931839402427
"30","med","strong","surv",57.8333333333333,0.872416821886827,61.8333333333333,0.600925212577332,-0.0646900269541779
"31","high","none","biom",484.575,2.82505899643412,441.383333333333,3.7629037251097,0.0978552278820375
"32","high","none","emer",104.368333333333,0.487657097194786,101.131666666667,0.504865768739024,0.0320044826051848
"33","high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"34","high","none","mass",6.64,0.00894427190999913,7.14,0.0154919333848297,-0.0700280112044818
"35","high","none","surv",73,0.516397779494322,61.8333333333333,0.600925212577332,0.180592991913747
"36","high","mild","biom",476.858333333333,3.49610298920257,441.383333333333,3.7629037251097,0.0803723143148435
"37","high","mild","emer",115.605,0.379971490158581,101.131666666667,0.504865768739024,0.143113762586727
"38","high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"39","high","mild","mass",6.68333333333333,0.0122927259430571,7.14,0.0154919333848297,-0.0639589169000934
"40","high","mild","surv",71.3333333333333,0.614636297152859,61.8333333333333,0.600925212577332,0.153638814016172
"41","high","strong","biom",464.633333333333,2.551132646057,441.383333333333,3.7629037251097,0.0526753011365782
"42","high","strong","emer",137.233333333333,0.51003703569229,101.131666666667,0.504865768739024,0.356976878326933
"43","high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"44","high","strong","mass",6.86666666666667,0.0174483364377365,7.14,0.0154919333848297,-0.0382819794584502
"45","high","strong","surv",67.6666666666667,0.333333333333333,61.8333333333333,0.600925212577332,0.0943396226415095
